,,,
Brand,Model,Device Type,Metric
Xiaomi,Smart Band 5,FitnessBand,steps
Xiaomi,Smart Band 5,FitnessBand,heart_rate
Xiaomi,Smart Band 5,FitnessBand,workout_distance
Xiaomi,Smart Band 5,FitnessBand,pace
Xiaomi,Smart Band 5,FitnessBand,calories
Xiaomi,Smart Band 5,FitnessBand,sleep_stages
Xiaomi,Smart Band 5,FitnessBand,sleep_score
Xiaomi,Smart Band 5,FitnessBand,PAI
Xiaomi,Smart Band 5,FitnessBand,stress
Xiaomi,Smart Band 4,FitnessBand,steps
Xiaomi,Smart Band 4,FitnessBand,heart_rate
Xiaomi,Smart Band 4,FitnessBand,workout_distance
Xiaomi,Smart Band 4,FitnessBand,pace
Xiaomi,Smart Band 4,FitnessBand,calories
Xiaomi,Smart Band 4,FitnessBand,sleep_stages
Xiaomi,Smart Band 4,FitnessBand,sleep_score
Xiaomi,Smart Band 4,FitnessBand,PAI
Xiaomi,Smart Band 4,FitnessBand,stress
Xiaomi,HMSH01GE,FitnessBand,steps
Xiaomi,HMSH01GE,FitnessBand,heart_rate
Xiaomi,HMSH01GE,FitnessBand,workout_distance
Xiaomi,HMSH01GE,FitnessBand,pace
Xiaomi,HMSH01GE,FitnessBand,calories
Xiaomi,HMSH01GE,FitnessBand,sleep_stages
Xiaomi,HMSH01GE,FitnessBand,sleep_score
Xiaomi,HMSH01GE,FitnessBand,PAI
Xiaomi,HMSH01GE,FitnessBand,stress
Xiaomi,Band 3,FitnessBand,steps
Xiaomi,Band 3,FitnessBand,heart_rate
Xiaomi,Band 3,FitnessBand,workout_distance
Xiaomi,Band 3,FitnessBand,pace
Xiaomi,Band 3,FitnessBand,calories
Xiaomi,Band 3,FitnessBand,sleep_stages
Xiaomi,Band 3,FitnessBand,sleep_score
Xiaomi,Band 3,FitnessBand,PAI
Xiaomi,Band 3,FitnessBand,stress
Xiaomi,Band - HRX Edition,FitnessBand,steps
Xiaomi,Band - HRX Edition,FitnessBand,heart_rate
Xiaomi,Band - HRX Edition,FitnessBand,workout_distance
Xiaomi,Band - HRX Edition,FitnessBand,pace
Xiaomi,Band - HRX Edition,FitnessBand,calories
Xiaomi,Band - HRX Edition,FitnessBand,sleep_stages
Xiaomi,Band - HRX Edition,FitnessBand,sleep_score
Xiaomi,Band - HRX Edition,FitnessBand,PAI
Xiaomi,Band - HRX Edition,FitnessBand,stress
Xiaomi,Band 2,FitnessBand,steps
Xiaomi,Band 2,FitnessBand,heart_rate
Xiaomi,Band 2,FitnessBand,workout_distance
Xiaomi,Band 2,FitnessBand,pace
Xiaomi,Band 2,FitnessBand,calories
Xiaomi,Band 2,FitnessBand,sleep_stages
Xiaomi,Band 2,FitnessBand,sleep_score
Xiaomi,Band 2,FitnessBand,PAI
Xiaomi,Band 2,FitnessBand,stress
Xiaomi,Revolve,Smartwatch,steps
Xiaomi,Revolve,Smartwatch,heart_rate
Xiaomi,Revolve,Smartwatch,workout_distance
Xiaomi,Revolve,Smartwatch,pace
Xiaomi,Revolve,Smartwatch,calories
Xiaomi,Revolve,Smartwatch,sleep_stages
Xiaomi,Revolve,Smartwatch,sleep_score
Xiaomi,Revolve,Smartwatch,PAI
Xiaomi,Revolve,Smartwatch,stress
Xiaomi,RevolveActive,Smartwatch,steps
Xiaomi,RevolveActive,Smartwatch,heart_rate
Xiaomi,RevolveActive,Smartwatch,workout_distance
Xiaomi,RevolveActive,Smartwatch,pace
Xiaomi,RevolveActive,Smartwatch,calories
Xiaomi,RevolveActive,Smartwatch,sleep_stages
Xiaomi,RevolveActive,Smartwatch,sleep_score
Xiaomi,RevolveActive,Smartwatch,PAI
Xiaomi,RevolveActive,Smartwatch,stress
Xiaomi,Smart Band 3i,FitnessBand,steps
Xiaomi,Smart Band 3i,FitnessBand,heart_rate
Xiaomi,Smart Band 3i,FitnessBand,workout_distance
Xiaomi,Smart Band 3i,FitnessBand,pace
Xiaomi,Smart Band 3i,FitnessBand,calories
Xiaomi,Smart Band 3i,FitnessBand,sleep_stages
Xiaomi,Smart Band 3i,FitnessBand,sleep_score
Xiaomi,Smart Band 3i,FitnessBand,PAI
Xiaomi,Smart Band 3i,FitnessBand,stress
OnePlus,Steven Harrington Edition Band,FitnessBand,steps
OnePlus,Steven Harrington Edition Band,FitnessBand,heart_rate
OnePlus,Steven Harrington Edition Band,FitnessBand,workout_duration
OnePlus,Steven Harrington Edition Band,FitnessBand,distance
OnePlus,Steven Harrington Edition Band,FitnessBand,calories
OnePlus,Steven Harrington Edition Band,FitnessBand,pace
OnePlus,Steven Harrington Edition Band,FitnessBand,intensity
OnePlus,Steven Harrington Edition Band,FitnessBand,sleep_light_deep_awake
OnePlus,Band,FitnessBand,steps
OnePlus,Band,FitnessBand,heart_rate
OnePlus,Band,FitnessBand,workout_duration
OnePlus,Band,FitnessBand,distance
OnePlus,Band,FitnessBand,calories
OnePlus,Band,FitnessBand,pace
OnePlus,Band,FitnessBand,intensity
OnePlus,Band,FitnessBand,sleep_light_deep_awake
FitBit,Versa 2,Smartwatch,steps
FitBit,Versa 2,Smartwatch,heart_rate
FitBit,Versa 2,Smartwatch,heart_rate_zones
FitBit,Versa 2,Smartwatch,active_zone_minutes
FitBit,Versa 2,Smartwatch,calories
FitBit,Versa 2,Smartwatch,floors
FitBit,Versa 2,Smartwatch,distance
FitBit,Versa 2,Smartwatch,sleep_duration
FitBit,Versa 2,Smartwatch,sleep_stages
FitBit,Versa 2,Smartwatch,sleep_score
FitBit,Versa 2,Smartwatch,hourly_activity
FitBit,Versa 2,Smartwatch,water_intake
FitBit,Versa 2,Smartwatch,weight
FitBit,Versa 2,Smartwatch,temperature
FitBit,Versa 2,Smartwatch,GPS
FitBit,Versa 2,Smartwatch,pace
FitBit,Versa 2,Smartwatch,elevation
FitBit,Versa 2,Smartwatch,stress
FitBit,Sense,Smartwatch,steps
FitBit,Sense,Smartwatch,heart_rate
FitBit,Sense,Smartwatch,heart_rate_zones
FitBit,Sense,Smartwatch,active_zone_minutes
FitBit,Sense,Smartwatch,calories
FitBit,Sense,Smartwatch,floors
FitBit,Sense,Smartwatch,distance
FitBit,Sense,Smartwatch,sleep_duration
FitBit,Sense,Smartwatch,sleep_stages
FitBit,Sense,Smartwatch,sleep_score
FitBit,Sense,Smartwatch,hourly_activity
FitBit,Sense,Smartwatch,water_intake
FitBit,Sense,Smartwatch,weight
FitBit,Sense,Smartwatch,temperature
FitBit,Sense,Smartwatch,GPS
FitBit,Sense,Smartwatch,pace
FitBit,Sense,Smartwatch,elevation
FitBit,Sense,Smartwatch,stress
FitBit,Versa 3,Smartwatch,steps
FitBit,Versa 3,Smartwatch,heart_rate
FitBit,Versa 3,Smartwatch,heart_rate_zones
FitBit,Versa 3,Smartwatch,active_zone_minutes
FitBit,Versa 3,Smartwatch,calories
FitBit,Versa 3,Smartwatch,floors
FitBit,Versa 3,Smartwatch,distance
FitBit,Versa 3,Smartwatch,sleep_duration
FitBit,Versa 3,Smartwatch,sleep_stages
FitBit,Versa 3,Smartwatch,sleep_score
FitBit,Versa 3,Smartwatch,hourly_activity
FitBit,Versa 3,Smartwatch,water_intake
FitBit,Versa 3,Smartwatch,weight
FitBit,Versa 3,Smartwatch,temperature
FitBit,Versa 3,Smartwatch,GPS
FitBit,Versa 3,Smartwatch,pace
FitBit,Versa 3,Smartwatch,elevation
FitBit,Versa 3,Smartwatch,stress
FitBit,Charge 4,FitnessBand,steps
FitBit,Charge 4,FitnessBand,heart_rate
FitBit,Charge 4,FitnessBand,heart_rate_zones
FitBit,Charge 4,FitnessBand,active_zone_minutes
FitBit,Charge 4,FitnessBand,calories
FitBit,Charge 4,FitnessBand,floors
FitBit,Charge 4,FitnessBand,distance
FitBit,Charge 4,FitnessBand,sleep_duration
FitBit,Charge 4,FitnessBand,sleep_stages
FitBit,Charge 4,FitnessBand,sleep_score
FitBit,Charge 4,FitnessBand,hourly_activity
FitBit,Charge 4,FitnessBand,water_intake
FitBit,Charge 4,FitnessBand,weight
FitBit,Charge 4,FitnessBand,temperature
FitBit,Charge 4,FitnessBand,GPS
FitBit,Charge 4,FitnessBand,pace
FitBit,Charge 4,FitnessBand,elevation
FitBit,Charge 4,FitnessBand,stress
FitBit,Inspire,FitnessBand,steps
FitBit,Inspire,FitnessBand,heart_rate
FitBit,Inspire,FitnessBand,heart_rate_zones
FitBit,Inspire,FitnessBand,active_zone_minutes
FitBit,Inspire,FitnessBand,calories
FitBit,Inspire,FitnessBand,floors
FitBit,Inspire,FitnessBand,distance
FitBit,Inspire,FitnessBand,sleep_duration
FitBit,Inspire,FitnessBand,sleep_stages
FitBit,Inspire,FitnessBand,sleep_score
FitBit,Inspire,FitnessBand,hourly_activity
FitBit,Inspire,FitnessBand,water_intake
FitBit,Inspire,FitnessBand,weight
FitBit,Inspire,FitnessBand,temperature
FitBit,Inspire,FitnessBand,GPS
FitBit,Inspire,FitnessBand,pace
FitBit,Inspire,FitnessBand,elevation
FitBit,Inspire,FitnessBand,stress
FitBit,Inspire 2,FitnessBand,steps
FitBit,Inspire 2,FitnessBand,heart_rate
FitBit,Inspire 2,FitnessBand,heart_rate_zones
FitBit,Inspire 2,FitnessBand,active_zone_minutes
FitBit,Inspire 2,FitnessBand,calories
FitBit,Inspire 2,FitnessBand,floors
FitBit,Inspire 2,FitnessBand,distance
FitBit,Inspire 2,FitnessBand,sleep_duration
FitBit,Inspire 2,FitnessBand,sleep_stages
FitBit,Inspire 2,FitnessBand,sleep_score
FitBit,Inspire 2,FitnessBand,hourly_activity
FitBit,Inspire 2,FitnessBand,water_intake
FitBit,Inspire 2,FitnessBand,weight
FitBit,Inspire 2,FitnessBand,temperature
FitBit,Inspire 2,FitnessBand,GPS
FitBit,Inspire 2,FitnessBand,pace
FitBit,Inspire 2,FitnessBand,elevation
FitBit,Inspire 2,FitnessBand,stress
FitBit,Lunar,FitnessBand,steps
FitBit,Lunar,FitnessBand,heart_rate
FitBit,Lunar,FitnessBand,heart_rate_zones
FitBit,Lunar,FitnessBand,active_zone_minutes
FitBit,Lunar,FitnessBand,calories
FitBit,Lunar,FitnessBand,floors
FitBit,Lunar,FitnessBand,distance
