Metric,Description,Unit,,
BMI,Body Mass Index calculated from weight and height,kg/m²,,
BMR,Basal Metabolic Rate – calories burned at rest,kcal/day,,
Body_Battery,Energy score indicating overall energy reserve (Garmin),0–100 score,,
Body_Energy,"Energy score derived from HRV, stress, sleep & activity",0–100 score,,
ECG,Electrocardiogram – electrical heart activity over time,mV vs. time,,
GPS,GPS coordinates for route tracking,Coordinates,,
HRV,Heart Rate Variability – variation between heart beats,milliseconds,,
PAI,Personal Activity Intelligence score derived from heart rate,0–100 score,,
SpO₂,Blood-oxygen saturation level,%,,
SpO₂_sleep,Overnight SpO₂ readings to monitor oxygen variation during sleep,%,,
VO₂_max,Maximum oxygen uptake during intense exercise,ml/kg/min,,
active_minutes,Total time spent in moderate to vigorous activity,minutes,,
active_zone_minutes,Time spent in target heart-rate zones (Fitbit),minutes,,
altitude,Elevation above sea level,m or ft,,
barometer,Atmospheric pressure measurement,hPa or mmHg,,
blood_pressure,Blood pressure reading (systolic/diastolic),mmHg,,
body_composition,"Measurements of fat, lean mass, water and bone",kg/%,,
body_fat_percentage,Percentage of body mass that is fat,%,,
body_temperature,Skin or wrist temperature,°C or °F,,
cadence,Steps per minute or cycling revolutions per minute,steps/min or rpm,,
calories,Energy expended,kcal,,
distance,Distance traveled,km or miles,,
duration,Length of activity session,minutes or hours,,
elevation,Gain or loss in height during an activity,m or ft,,
fall_detection,Number of falls detected,count,,
fat_burn_time,Time spent in fat-burn heart-rate zone,minutes,,
floors,Number of floors climbed,count,,
heart_rate,Heart beats per minute,bpm,,
heart_rate_zones,Time spent in different heart-rate zones,minutes per zone,,
hourly_activity,"Number of hours with a minimum activity (e.g., >250 steps)",hours,,
hydration,Fluid intake recorded,ml or ounces,,
intensity,Level of effort based on heart-rate or pace,score or minutes,,
intensity_minutes,Combined moderate and vigorous intensity minutes (Garmin),minutes,,
pace,Speed per unit distance,min/km or min/mile,,
recovery_time,Recommended rest before next workout,hours,,
respiration_rate,Breaths per minute,breaths/min,,
respiratory_rate,Breaths per minute (same as respiration_rate),breaths/min,,
route,GPS-tracked path,Coordinates,,
sleep_breathing_quality,Index indicating breathing irregularities during sleep,score,,
sleep_duration,Total time asleep,hours or minutes,,
sleep_light_deep_awake,"Time spent in light, deep, and awake periods",minutes,,
sleep_quality,Overall sleep quality score,score,,
sleep_score,"Composite sleep rating considering duration, stages and disturbances",score,,
sleep_stages,"Time spent in REM, light and deep sleep",minutes per stage,,
sleep_statistics,"Aggregated sleep metrics (e.g., bedtime consistency)",varies,,
sleep_tracking,Summary of sleep duration and patterns,hours or minutes,,
stand_hours,Hours with at least a minute of standing or movement,hours,,
standing_reminders,Number of times user is reminded to stand,count,,
standing_time,Total time spent standing,minutes or hours,,
steps,Number of steps taken,count,,
stress,Measured stress level based on heart-rate variability,score,,
stride_frequency,Number of steps per minute during a workout,steps/min,,
stride_length,Average distance per step,m or cm,,
temperature,Skin or ambient temperature,°C or °F,,
vascular_load,Metric analysing cardiovascular strain (Samsung),score,,
water_intake,Amount of water consumed,ml or ounces,,
water_retention,Estimated water retained in the body,kg or %,,
weight,Body weight,kg or lb,,
workout_distance,Distance covered during a workout,km or miles,,
workout_duration,Time spent in a workout session,minutes,,
exercise_minutes,Minutes counted towards the exercise ring (Apple),minutes,,
training_load,Cumulative measure of workout strain over time,score,,
training_readiness,Index indicating preparedness for training,score,,
training_status,"Classification of training impact (e.g., productive)",category/score,,
